iter	Passed	Remaining
431	1549	2036
432	1552	2033
433	1555	2029
434	1559	2025
435	1562	2021
436	1565	2017
437	1569	2013
438	1572	2010
439	1576	2006
440	1579	2001
441	1582	1998
442	1586	1994
443	1589	1990
444	1592	1986
445	1595	1982
446	1598	1977
447	1601	1973
448	1604	1969
449	1608	1965
450	1611	1961
451	1614	1957
452	1617	1953
453	1621	1949
454	1624	1945
455	1627	1941
456	1630	1937
457	1634	1933
458	1637	1929
459	1640	1926
460	1644	1922
461	1647	1917
462	1650	1913
463	1653	1910
464	1656	1906
465	1659	1902
466	1663	1898
467	1666	1894
468	1669	1890
469	1672	1886
470	1676	1882
471	1679	1878
472	1682	1874
473	1685	1870
474	1688	1866
475	1691	1862
476	1695	1858
477	1698	1854
478	1701	1850
479	1704	1846
480	1708	1843
481	1711	1839
482	1714	1835
483	1718	1831
484	1721	1827
485	1724	1823
486	1727	1820
487	1731	1816
488	1734	1812
489	1737	1808
490	1740	1804
491	1744	1800
492	1747	1796
493	1750	1793
494	1753	1789
495	1756	1785
496	1760	1781
497	1763	1777
498	1766	1773
499	1769	1769
500	1773	1766
501	1777	1762
502	1780	1758
503	1781	1753
504	1785	1750
505	1788	1746
506	1792	1742
507	1795	1738
508	1798	1735
509	1802	1731
510	1805	1727
511	1808	1724
512	1812	1720
513	1815	1716
514	1818	1712
515	1821	1708
516	1825	1705
517	1828	1701
518	1831	1697
519	1834	1693
520	1838	1690
521	1841	1686
522	1844	1682
523	1848	1678
524	1851	1675
525	1854	1671
526	1857	1667
527	1861	1663
528	1864	1659
529	1867	1656
530	1870	1652
531	1873	1648
532	1877	1644
533	1880	1640
534	1883	1637
535	1886	1633
536	1890	1629
537	1893	1625
538	1896	1622
539	1899	1618
540	1903	1614
541	1906	1611
542	1909	1607
543	1913	1603
544	1916	1600
545	1919	1596
546	1922	1592
547	1926	1588
548	1929	1585
549	1932	1581
550	1935	1577
551	1939	1573
552	1942	1570
553	1945	1566
554	1949	1562
555	1952	1558
556	1955	1555
557	1958	1551
558	1961	1547
559	1965	1544
560	1968	1540
561	1972	1536
562	1975	1533
563	1978	1529
564	1981	1525
565	1985	1522
566	1988	1518
567	1991	1514
568	1994	1511
569	1998	1507
570	2001	1503
571	2004	1499
572	2007	1496
573	2011	1492
574	2014	1488
575	2017	1485
576	2020	1481
577	2024	1477
578	2027	1474
579	2030	1470
580	2034	1467
581	2037	1463
582	2040	1459
583	2044	1456
584	2047	1452
585	2050	1448
586	2053	1444
587	2056	1441
588	2059	1437
589	2063	1433
590	2066	1430
591	2069	1426
592	2073	1422
593	2076	1419
594	2079	1415
595	2082	1411
596	2085	1408
597	2089	1404
598	2092	1400
599	2095	1397
600	2098	1393
601	2102	1390
602	2105	1386
603	2109	1382
604	2112	1379
605	2115	1375
606	2118	1371
607	2121	1368
608	2125	1364
609	2128	1360
610	2131	1357
611	2134	1353
612	2137	1349
613	2141	1346
614	2144	1342
615	2147	1338
616	2151	1335
617	2154	1331
618	2157	1327
619	2160	1324
620	2164	1320
621	2167	1317
622	2170	1313
623	2174	1310
624	2177	1306
625	2180	1302
626	2183	1299
627	2186	1295
628	2189	1291
629	2193	1287
630	2196	1284
631	2199	1280
632	2202	1277
633	2206	1273
634	2209	1269
635	2212	1266
636	2215	1262
637	2218	1258
638	2221	1255
639	2225	1251
640	2228	1248
641	2231	1244
642	2234	1240
643	2238	1237
644	2241	1233
645	2244	1230
646	2247	1226
647	2251	1222
648	2254	1219
649	2257	1215
650	2260	1212
651	2264	1208
652	2267	1204
653	2270	1201
654	2273	1197
655	2277	1194
656	2280	1190
657	2283	1186
658	2286	1183
659	2289	1179
660	2293	1176
661	2296	1172
662	2299	1169
663	2303	1165
664	2306	1161
665	2309	1158
666	2312	1154
667	2315	1150
668	2318	1147
669	2322	1143
670	2325	1140
671	2328	1136
672	2331	1132
673	2334	1129
674	2337	1125
675	2341	1122
676	2344	1118
677	2347	1114
678	2350	1111
679	2353	1107
680	2357	1104
681	2360	1100
682	2364	1097
683	2367	1093
684	2370	1090
685	2373	1086
686	2376	1082
687	2380	1079
688	2383	1075
689	2386	1072
690	2389	1068
691	2392	1065
692	2396	1061
693	2399	1057
694	2402	1054
695	2405	1050
696	2408	1047
697	2412	1043
698	2415	1040
699	2418	1036
700	2421	1033
701	2425	1029
702	2428	1026
703	2432	1022
704	2435	1019
705	2438	1015
706	2441	1011
707	2444	1008
708	2448	1004
709	2451	1001
710	2454	997
711	2457	994
712	2460	990
713	2463	986
714	2467	983
715	2470	979
716	2473	976
717	2476	972
718	2479	969
719	2483	965
720	2486	962
721	2489	958
722	2492	955
723	2496	951
724	2499	948
725	2502	944
726	2505	941
727	2509	937
728	2512	934
729	2516	930
730	2519	927
731	2522	923
732	2525	919
733	2528	916
734	2532	912
735	2535	909
736	2539	906
737	2542	902
738	2545	899
739	2548	895
740	2552	892
741	2555	888
742	2558	884
743	2561	881
744	2564	877
745	2568	874
746	2571	870
747	2574	867
748	2577	863
749	2580	860
750	2583	856
751	2586	853
752	2590	849
753	2592	845
754	2595	842
755	2598	838
756	2601	835
757	2604	831
758	2608	828
759	2611	824
760	2614	821
761	2617	817
762	2621	814
763	2624	810
764	2627	807
765	2630	803
766	2633	800
767	2637	796
768	2640	793
769	2643	789
770	2646	786
771	2649	782
772	2653	779
773	2656	775
774	2659	772
775	2662	768
776	2665	765
777	2668	761
778	2672	758
779	2675	754
780	2678	751
781	2681	747
782	2685	744
783	2688	740
784	2691	737
785	2694	733
786	2698	730
787	2701	726
788	2704	723
789	2707	719
790	2711	716
791	2714	712
792	2717	709
793	2720	705
794	2723	702
795	2727	698
796	2730	695
797	2733	691
798	2736	688
799	2739	684
800	2743	681
801	2746	677
802	2749	674
803	2753	671
804	2756	667
805	2759	664
806	2763	660
807	2766	657
808	2769	653
809	2772	650
810	2776	646
811	2779	643
812	2782	640
813	2785	636
814	2789	633
815	2792	629
816	2795	626
817	2799	622
818	2802	619
819	2805	615
820	2809	612
821	2812	609
822	2815	605
823	2819	602
824	2822	598
825	2825	595
826	2828	591
827	2832	588
828	2835	584
829	2838	581
830	2841	577
831	2844	574
832	2848	570
833	2851	567
834	2854	564
835	2857	560
836	2860	557
837	2863	553
838	2867	550
839	2870	546
840	2873	543
841	2876	539
842	2879	536
843	2883	532
844	2886	529
845	2889	526
846	2893	522
847	2896	519
848	2899	515
849	2902	512
850	2905	508
851	2909	505
852	2912	501
853	2915	498
854	2918	494
855	2921	491
856	2924	488
857	2928	484
858	2930	481
859	2934	477
860	2937	474
861	2940	470
862	2943	467
863	2947	463
864	2950	460
865	2953	457
866	2957	453
867	2960	450
868	2963	446
869	2966	443
870	2969	439
871	2973	436
872	2976	432
873	2979	429
874	2982	426
875	2985	422
876	2989	419
877	2992	415
878	2995	412
879	2998	408
880	3001	405
881	3005	402
882	3008	398
883	3011	395
884	3015	391
885	3018	388
886	3021	384
887	3024	381
888	3027	378
889	3030	374
890	3034	371
891	3037	367
892	3040	364
893	3044	360
894	3047	357
895	3050	354
896	3053	350
897	3056	347
898	3060	343
899	3063	340
900	3066	336
901	3069	333
902	3073	330
903	3076	326
904	3079	323
905	3083	319
906	3086	316
907	3089	313
908	3092	309
909	3095	306
910	3098	302
911	3102	299
912	3105	295
913	3108	292
914	3111	289
915	3115	285
916	3118	282
917	3121	278
918	3124	275
919	3128	272
920	3131	268
921	3134	265
922	3137	261
923	3141	258
924	3144	254
925	3148	251
926	3151	248
927	3154	244
928	3157	241
929	3160	237
930	3163	234
931	3167	231
932	3170	227
933	3173	224
934	3176	220
935	3180	217
936	3183	214
937	3186	210
938	3190	207
939	3193	203
940	3196	200
941	3200	197
942	3203	193
943	3206	190
944	3210	186
945	3213	183
946	3216	180
947	3220	176
948	3223	173
949	3226	169
950	3230	166
951	3233	163
952	3236	159
953	3239	156
954	3242	152
955	3245	149
956	3249	145
957	3252	142
958	3255	139
959	3259	135
960	3262	132
961	3265	128
962	3268	125
963	3272	122
964	3275	118
965	3279	115
966	3282	112
967	3285	108
968	3288	105
969	3291	101
970	3294	98
971	3298	95
972	3301	91
973	3304	88
974	3307	84
975	3311	81
976	3314	78
977	3317	74
978	3320	71
979	3324	67
980	3327	64
981	3330	61
982	3333	57
983	3336	54
984	3340	50
985	3343	47
986	3346	44
987	3349	40
988	3352	37
989	3356	33
990	3359	30
991	3362	27
992	3365	23
993	3369	20
994	3372	16
995	3375	13
996	3378	10
997	3381	6
998	3385	3
999	3388	0
